,Accuracy,ROC-AUC,PR-AUC,Precision,Recall,F1-Score
Stacking Ensemble,0.9685169842584921,0.9985896706567796,0.9946270760009783,0.9685624672481673,0.9685355125007071,0.9685407666453237
Extra Trees,0.9674123170394918,0.9984803088430937,0.993989496862697,0.9674296865630764,0.9674175860343981,0.9673887053962458
Voting Ensemble,0.9646506489919912,0.9983318228372313,0.9934867912480998,0.9646793592104043,0.9646833478623293,0.9646505886441616
XGBoost,0.960093896713615,0.9982172275427013,0.9932120447538078,0.9601280595754188,0.9601337124049427,0.9601054300653964
Random Forest,0.9617508975421154,0.9977846715522334,0.9912809909928925,0.961771446140812,0.9617970049233795,0.961755211382283
Gradient Boosting,0.9610604805302403,0.9977648113228421,0.9909448044167263,0.9610643716731312,0.9610892335215379,0.9610522750893221
Logistic Regression,0.952223142778238,0.9969942075312215,0.9885138570290797,0.9523029424219309,0.9523003511179347,0.9522763267258805
KNN,0.9381386357359845,0.9918744548967476,0.9722790533015286,0.9383708912234798,0.9381646360541538,0.9379943385804612
Decision Tree,0.9342723004694836,0.9753208500261848,0.9260217107277364,0.93452922093291,0.9343821039046422,0.9343735752279887
AdaBoost,0.6942833471416736,0.9629859473939245,0.8883042228366312,0.6002767638357186,0.6919080111868009,0.6284564610246468
